"Eintritte nach Ausbildungsfeld, Kanton, Ausbildungstyp, Geschlecht und Ausbildungsform"

"Ausbildungsfeld";"Kanton";"Ausbildungstyp";"Geschlecht - Total Ausbildungsform - Total 2011";"Geschlecht - Total Vollschulisch 2011";"Geschlecht - Total Dual 2011";"Mann Ausbildungsform - Total 2011";"Mann Vollschulisch 2011";"Mann Dual 2011";"Frau Ausbildungsform - Total 2011";"Frau Vollschulisch 2011";"Frau Dual 2011"
"Musik und darstellende Kunst";"Basel-Landschaft";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Schaffhausen";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Schaffhausen";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Schaffhausen";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Schaffhausen";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Appenzell Ausserrhoden";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Appenzell Ausserrhoden";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Appenzell Ausserrhoden";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Appenzell Ausserrhoden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Appenzell Innerrhoden";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Appenzell Innerrhoden";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Appenzell Innerrhoden";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Appenzell Innerrhoden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"St. Gallen";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"St. Gallen";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"St. Gallen";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"St. Gallen";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Graubünden / Grigioni / Grischun";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Graubünden / Grigioni / Grischun";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Graubünden / Grigioni / Grischun";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Graubünden / Grigioni / Grischun";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Aargau";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Aargau";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Aargau";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Aargau";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Thurgau";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Thurgau";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Thurgau";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Thurgau";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Ticino";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Ticino";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Ticino";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Ticino";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Vaud";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
